Computer Number,Gender,Academic Year,Year Of Study,School,Program,MajorDescription,MinorDescription,Total number of courses,Sponsor,Accomodated,Moodle logins,CA + Exam
2245,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,4,GRZ-FULLY SPONSORED,Yes,0.11,57
2246,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,HISTORY,4,GRZ-FULLY SPONSORED,Yes,,
2247,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,4,GRZ-FULLY SPONSORED,Yes,,
2248,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,MATHEMATICS,4,GRZ-FULLY SPONSORED,Yes,,
2249,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,MATHEMATICS,4,GRZ-FULLY SPONSORED,No,,
2250,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,GRZ-FULLY SPONSORED,Yes,0.1,46
2251,F,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,GRZ-FULLY SPONSORED,Yes,0.17,48
2252,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,ENGLISH,5,GRZ-FULLY SPONSORED,No,0.1,38
2253,F,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,ENGLISH,5,GRZ-FULLY SPONSORED,Yes,0,37
2254,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,4,GRZ-FULLY SPONSORED,Yes,0.25,45
2255,F,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,4,GRZ-FULLY SPONSORED,Yes,,
2256,F,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,HISTORY,4,GRZ-FULLY SPONSORED,Yes,0.07,32
2257,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,RELIGIOUS STUDIES,4,GRZ-FULLY SPONSORED,Yes,,
2258,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,GEOGRAPHY,4,GRZ-FULLY SPONSORED,Yes,,
2259,F,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,4,GRZ-FULLY SPONSORED,Yes,0.02,34
2260,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,4,GRZ-FULLY SPONSORED,Yes,0.15,53
2261,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,4,GRZ-FULLY SPONSORED,Yes,,
2262,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,4,GRZ-FULLY SPONSORED,Yes,,
2263,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,ENGLISH,5,TUITION WAIVER(DEPENDANTS),Yes,,
2264,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,4,GRZ-FULLY SPONSORED,Yes,0.1,43
2265,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,FRENCH,4,GRZ-FULLY SPONSORED,No,0.1,45
2266,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,4,GRZ-FULLY SPONSORED,Yes,,
2267,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,4,GRZ-FULLY SPONSORED,No,,
2268,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,4,SELF-SPONSORED,Yes,,
2269,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,MATHEMATICS,4,GRZ-FULLY SPONSORED,Yes,,
2270,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,TUITION WAIVER(DEPENDANTS),Yes,,
2271,F,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,ENGLISH,5,GRZ-FULLY SPONSORED,Yes,,
2272,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,4,TUITION WAIVER(DEPENDANTS),Yes,0.02,56
2273,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,4,GRZ-FULLY SPONSORED,No,0.3,47
2274,F,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,FRENCH,4,SELF-SPONSORED,No,0.01,35
2275,M,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,MATHEMATICS,4,GRZ-FULLY SPONSORED,Yes,0.2,38
2276,F,20201,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,GEOGRAPHY,4,SELF-SPONSORED,No,,
1234,F,adf,123,adf,adf,adf,adf,123,adf,adf,adf,123
1234,F,adf,123,adf,adf,adf,adf,123,adf,adf,adf,123
123456,M,8989,1,asasf,asdfadsfsadf,asdfasdf,asdf,25,me,yes,asdfasdf,40
